Country,Country Code,What Round Exit,Total Goals,Total Conceded,Win Ratio,Average Possession Ratio,Average Goals Scored:,Average Goals Conceded:
Qatar,QAT,Group Stage,1,7,0,0.445411,0.333333,2.333333
England,GBR,Quarterfinals,13,4,0.6,0.639151,2.6,0.8
Senegal,SEN,Round of 16,5,7,0.5,0.451629,1.25,1.75
United States,USA,Round of 16,3,4,0.25,0.53604,0.75,1
Argentina,ARG,Finals,15,8,0.571429,0.580405,2.142857,1.142857
Denmark,DNK,Group Stage,1,3,0,0.613095,0.333333,1
Mexico,MEX,Group Stage,2,3,0.333333,0.569554,0.666667,1
France,FRA,Finals,16,8,0.714286,0.506717,2.285714,1.142857
Morocco,MAR,Semi Finals,6,5,0.428571,0.39251,0.857143,0.714286
Germany,DEU,Group Stage,6,5,0.333333,0.602523,2,1.666667
Spain,ESP,Round of 16,9,3,0.25,0.761445,2.25,0.75
Belgium,BEL,Group Stage,1,2,0.333333,0.55848,0.333333,0.666667
Switzerland,CHE,Round of 16,5,9,0.5,0.481731,1.25,2.25
Uruguay,URY,Group Stage,2,2,0.333333,0.473256,0.666667,0.666667
Portugal,PRT,Quarterfinals,12,6,0.6,0.610203,2.4,1.2
Brazil,BRA,Quarterfinals,8,3,0.6,0.565959,1.6,0.6
Netherlands,NLD,Quarterfinals,10,4,0.6,0.505845,2,0.8
Tunisia,TUN,Group Stage,1,1,0.333333,0.44704,0.333333,0.333333
Poland,POL,Round of 16,3,5,0.25,0.359984,0.75,1.25
Japan,JPN,Round of 16,5,4,0.5,0.340937,1.25,1
Croatia,HRV,Semi Finals,8,7,0.285714,0.542307,1.142857,1
Cameroon,CMR,Group Stage,4,4,0.333333,0.436652,1.333333,1.333333
Korea Republic,KOR,Round of 16,5,8,0.25,0.481462,1.25,2
Ecuador,ECU,Group Stage,4,3,0.333333,0.535404,1.333333,1
Iran,IRN,Group Stage,4,7,0.333333,0.361469,1.333333,2.333333
Australia,AUS,Round of 16,4,6,0.5,0.362693,1,1.5
Saudi Arabia,SAU,Group Stage,3,5,0.333333,0.424379,1,1.666667
Canada,CAN,Group Stage,2,7,0,0.534264,0.666667,2.333333
Costa Rica,CRI,Group Stage,3,11,0.333333,0.315145,1,3.666667
Ghana,GHA,Group Stage,5,7,0.333333,0.435512,1.666667,2.333333
Serbia,SRB,Group Stage,5,8,0,0.492426,1.666667,2.666667
